1: confident
HomophobicHateCrime 1
HeterosexualLifePartner 0
ThirdOptionLoveInterest 1
HomoeroticSubtext 1
HoYay 1
AnimalSweetOnObject -1
AllGaysLoveTheatre 1
HeterosexualLifePartners 1
AmIJustAToyToYou -1
CrazyConsumption -1
LesbianSubtext 1
DepravedHomosexual 1
HeteroSexualLifePartners 0
ForcedOutoftheCloset 1
ArmoredClosetGay 1
IncompatibleOrientation 1
FagHag 1
SettledForGay 1
ArmouredClosetGay 1
ButNotTooGay 1
PetHomosexual 1
HideYourLesbians 1
DudeShesALesbian 1
HookedUpAfterwards -1
BisexualLoveTriangle 1
GayBravado 1
GayBestFriend 1
ClosetKey 1
HeteronormativeCrusader 0
IfItsYouItsOkay 1
ChastityCouple 0
HeterosexualLifepartners 0
AllGaysArePedophiles 1
HereditaryHomosexuality 1
AllGaysLoveTheater 1
MentorInQueerness 1
AllGaysArePromiscuous 1
TwinThreesomeFantasy 1
EroticDream -1

5: ugly
Average Score: 0.2516949772834778
SlidingScaleOfBeauty -1
BeerGoggles 0
HumansAreUgly 1
CuteGiant 0
IJustWantToBeBeautiful 1
UnusualEyebrows 1
TheyLookJustLikeEveryoneElse 0
LasciviousBeautyMark -1
ExcessiveEvilEyeshadow 1
FairySexy 0
HimeCut -1
CuteLittleFangs 0
IAmNotPretty 1
BlackEyesOfEvil -1
HistoricalBeautyUpdate -1
VillainousWidowsPeak -1
BeautifulAllAlong 0
BeautyIsBest 0
HiddenEyes -1
BeastWithAHumanFace 1
FaceFramedInShadow -1
CuteBruiser -1
BigBeautifulWoman 0
TheNoseless 1
GirlNextDoor 0
BeautyisBad 0
UnnecessaryMakeover 0
CleavageWindow 0
HighPressureEmotion -1
FacialHorror 1
ExcessiveEvilEyeShadow 1
LuminescentBlush 0
BuxomBeautyStandard 0
UglyCute 1
EyelessFace 1
HotLibrarian 0
BigOlEyebrows 1
NubileSavage 0
BlemishedBeauty 1
DarkIsNotEvil -1
HotWitch 0
GhostlyGape 1
BigEyesLittleEyes 1
FacelessMooks -1
AdaptationalAttractiveness 0
FishEyes 1
CreepyShadowedUndereyes 1
Gonk 1
CuteLittleFang 0
BeautifulTears 0
ReflectionlessUselessEyes 1
PerpetualFrowner 1
LovableLizard 1
UglyGuyHotGirlfriend 1
DisapprovingLook -1
FaceOfAnAngelMindOfADemon 0
TheyLookLikeEveryoneElse 0
BeautyIsBad 0
BeautyEqualsGoodness 0
EyeLaser -1
TheGoodQueen -1
ThePrettyGuysAreStronger 0
UglyGuysHotDaughter 1
BeautyBreedsLaziness 0
StockShoujoHeroine 0
DorkInASweater 1
InhumanlyBeautifulRace 0
ScrewTheRulesImBeautiful 1
ButterflyOfDeathAndRebirth -1
UnkemptBeauty 0
WhatBeautifulEyes 0
BigOlUnibrow 1
CuteIsEvil 0
DullEyesOfUnhappiness 1
SoBeautifulItsACurse 0
MeetCute -1
ChubbyChaser -1
GorgeousGorgon 0
UglyGuyHotWife 1
BeautyIsRelative -1
PunishedWithUgly 1
ChainmailBikini 0
NonStandardCharacterDesign 1
DrearyHalfLiddedEyes 1
FashionDisaster 1
BeadyEyedLoser 1
DruggedLipstick -1
ImpossiblyTackyClothes 1
ChubbyMamaSkinnyPapa 1
BulletproofFashionPlate -1
EyeOnAStalk 1
EvilEyebrows 1
TheBlank -1
GoofyBuckteeth 1
DreamworksFace 1
DistractedByMyOwnSexy 0
HairColorAngst -1
InTheHood -1
CreepyLonerGirl 1
MonsterBrotherCutieSister 1

6: follower
Average Score: 0.24339263141155243
AlwaysGetsHisMan -1
ExpositionFairy -1
GetBackHereBoss -1
TheSquire 1
WithThisHerring -1
StalkerWithoutACrush -1
LegacyOfService -1
MysteriousProtector -1
SingleIssueWonk -1
FalseProphet 0
SchoolClubAdvisor 0
SecretKeeper 1
LoonyFan 1
AscendedFangirl 1
CrisisCatchAndCarry -1
PreacherMan 0
GenocideFromTheInside -1
WitchDoctor -1
TeamChef -1
CloudcuckoolandersMinder 0
DietEpisode -1
MacGuffinGuardian 1
ThereIsAnother -1
PuttingTheBandBackTogether 0
HonoraryTrueCompanion 1
HolyHitman -1
AscendedFanboy 1
RebelliousRebel 0
TheBeastmaster 0
TheHerosIdol -1
MyMasterRightOrWrong 1
PsychoSupporter 1
AudienceSurrogate -1
MilesGloriosus -1
TokenReligiousTeammate 1
TheHeretic -1
DeceptiveDisciple 1
NotSoWeak 1
AlwaysABiggerFish -1
IncrediblyObviousTail -1
VampireHunter 0
FatherNeptune -1
JeanneDArchetype 0
MakeWayForThePrincess -1
FailureKnight 1
ItSucksToBeTheChosenOne 0
ObsessivelyOrganized -1
KnowledgeBroker -1
CynicalMentor 0
OneTrackMindedHunger -1
ScheduleFanatic -1
TricksterMentor 0
CavalryBetrayal 1
RecurringTraveller -1
ForgivenButNotForgotten -1
SarcasticDevotee 1
ScarilyCompetentTracker -1
GirlPosse -1
StupidSlothfulness -1
EccentricMentor 0
CanineLoyalty 1
TokenHeroicOrc -1
ExtremeDoorMat -1
SpareAMessenger 1
BadassPreacher 0
TheSvengali -1
ApocalypseCult -1
CloudCuckooLandersMinder 0
TheTeamWannabe 1
SincerestFormOfFlattery 1
NoSenseOfDirection -1
VisionQuest -1
TokenGoodTeamMate 1
NonPlayerCompanion 1
OneLastSmoke -1
RedShirt 1
MentorsNewHope -1
TheJailer 0
PromotedFanboy 1
GuardianEntity 0
GoodShepherd 0
EvilMentor 0
TheSoulsaver -1
HidingBehindReligion -1
TreacherousAdviser 1
IfIDoNotReturn -1
MacguffinGuardian 1
PetRat 1
UnrequitedLoveLastsForever -1
DevotedToYou 1
DropInLandlord 0
CloudCuckoolandersMinder 0
CompanionFood 1
HerosMuse 1
FakeDefector 1
DestroyerDeity 0
TheAntiNihilist -1
JeanneDarchetype 0
UndergroundRailroad -1
IWillOnlySlowYouDown 1

7: values family
Average Score: 0.2618931829929352
RandomSpeciesOffspring 0
SpoiledBrat 0
PickUpBabesWithBabes 1
ParentsAsPeople 1
ScrewTheRulesIHaveConnections 1
SiblingsInCrime 1
DaddyDidntShow 0
SecretlyRich -1
FantasyForbiddingParent 0
NouveauRiche -1
FollowingInRelativesFootsteps 1
DenyingTheDeadParentsSins 1
TopWife -1
ObliviousAdoption 1
BrattyTeenageSon 0
LikeASonToMe 1
NurtureOverNature 1
MalignedMixedMarriage -1
PosthumousSibling 1
DivorceAssetsConflict 0
UpperClassTwit -1
PetHeir -1
GenerationXerox 1
BrattyteenageDaughter 0
Nepotism 1
WellDoneSonGuy 1
Standard50sFather 1
FamilyHonor 1
TheDutifulDaughter 1
DamselInDistress -1
RichKidTurnedSocialActivist -1
InterspeciesAdoption 1
RichInDollarsPoorInSense -1
RaisedByHumans 1
BigFancyHouse -1
HalfHumanHybrid -1
OrcRaisedByElves 1
NobilityMarriesMoney -1
SocialServicesDoesNotExist 0
ActionDad 1
GoodStepMother 1
WealthsInAName -1
ParentingTheHusband -1
MightyWhitey -1
EvilParentsWantGoodKids 0
GoodStepmother 1
EvilIsOneBigHappyFamily 1
SelfMadeLie -1
ProBonoBarter -1
LikeFatherUnlikeSon 0
Eagleland -1
FantasyForbiddingMother 1
HybridPower -1
PillarsOfMoralCharacter -1
FamilyPortraitOfCharacterization -1
ItsAllJunk -1
DysfunctionalFamily 0
HonorThyParent 1
OnOneCondition -1
PlotCoupon -1
OldMoney -1
HollywoodGenetics -1
PapaBear 1
